İçecek,Kampanya
Americano,"Önerimiz:

""Yazın Esrarlı Americano'su""

Içecek: Americano
Mevcut Fiyat: 80 TL (90 TL'den 10 TL indirim)
Trend: Düşüş
Mevsim: Yaz

Kampanya Önerisi:

- Her Pazartesi ve Cumartesi günleri, en az 2 su bardağı Americano satın alanlar 10 TL indirimli fırsatını享ndaşırlar!
- İthal Americano'yu nuestros marketlerinde bulamaz olacaksınız!
- Yazın esrarlı Americano'sunu sınırsız tüketimle keyfinizi livede!"
Espresso,"Önerimiz:

""Ayın Sıcaklığını Kazan!

Yaz aylarında, espressonun temperature'sini düşürmek için nosso special campanya'da participating ol! 

- %20 indirimli 80 TL'lik espresso'su için buyur!
- Her sipcese ekleyeceğin 5 TL'lik taze limon ve ice krem ile together ol!

Hemen buyur ve yazın sıcaklığını kazan!"""
Mocha,"Kampanya Name: Yazın Kahvesi - Mocha Specialı

Tanıtım Mesaji:
Yaz aylarında, kahve seviyenizi artırmak için özel bir offersiz kampanyamız var! Our special offer for the summer season. 

Mevcut Fiyat: 100 TL
Trend: Yükseliş (Rising Trend)
Mevsim: Yaz

Öneri:
- Içecek: Mocha (Espresso ile hazırlanan kahve)
- Fiyat: 150 TL (Orjinal fiyatın %50 indirimli)
- Kampanya Süresi: 6 ay (Aylar)

Kampanya Tanıtım Materyalleri:

- Poster: Yaz aylarında kahve seviyenizi artırmak için special offers.
- Social Media: ""Yazın Kahvesi"" campaign'a katılın ve %50 indirimli Mocha'yı体ize edin!
- E-mail Marketing: ""Yazın Kahvesi"" kampanyasına katılın ve %50 indirimli Mocha'yı body için kullanın!

Kampanya Geliştirme:
- Her ay, farklı bir kahve drinki offerinde bulunulacaktır.
- Kampanya süresince, en fazla satılan içecek için bonus ödül verilecektir."
Latte,"**Yazın En Popüler İçecki - Latte Kampanyası**

Yaz aylarında hotter bir içecek arıyorsanız, latte size perfect bir escolpuldur! Bu yazın en popüler içecki olan latte'nin fiyatını 10 TL indirimle 80 TL'den starting price olarak öneririz.

**Kampanya Detayları:**

* Fiyat: 80 TL
* Trend: Düşüş (Yaz aylarında popularity artmaktadır)
* Mevsim: Yaz
* Öneri: Yazın en popüler içecki olan latte'yi sonuna kadar keyfinize kavuşun! 

**Kampanya Sonu:**

Bu kampanyayı kaçırmayın! Latte'nin fiyatını 80 TL'ye indirimle bulutta bekleyin."
Filtre Kahve,"**Yazın En İyilişli Filtre Kahvesi**

Yaz aylarında, sıcağı durmuyor ve temperature değişimlere dikkat etmemizin zamanı geldi! Bu seasons için besonders çok sevdiğimiz filtre kahvecımızı 75 TL'de sadece %10 indirimle sunuyoruz!

Kampanyanızın name'sini buradan çıkarabilirsin; 

""Siz de Yazın En İyilişli Filtre Kahvesini Kaybedin Mi?"""
White Chocolate Mocha,"Kampanya Başlıkları:

1. ""Yazın Soğuk ve Çikolsul Tatları""
2. ""White Chocolate Mocha'yu Kazan!""

Kampanya Açıklaması:
Yaz aylarında soğuksuz bir tat experience'ini livede kalmak isteyeceğiniz içecekler arasında White Chocolate Mocha yer alıyor. Bu tatlı ve çikolsul içecekte, yazın yenilenebilir ve doğası ile connected olan natural ingredients kullanılmıştır.

Kampanya Önerisi:

- ""Yazın Soğuk ve Çikolsul Tatları"" kampanyası within our yaz mevsiminde, White Chocolate Mocha'sını satın alan müşterilerimiz, kampanya durationu boyunca (6 hafta) free gift package alacaktır.
- Kampanya durationunda 2x 1 Free Drink Coupon'lar da sunulacaktır. 
- Kupon'lar 2024 yaz aylarında validiteye girecektir.

Kampanya İlanı:
Yazın Soğuk ve Çikolsul Tatları
White Chocolate Mocha'sını satın al, free gift package ve 2x 1 Free Drink Coupon'lar kazana!
Kampanya durationu: 6 hafta (2024 Yaz aylarında)
Satis fiyatı: 120 TL"
Hazelnut Latte,"**Yazın Kocaman Hazelnut Latte'ten benefitsini disfran**

Yaz aylarında, her şeyin coşkulu olduğu bir season, ve içecekler de bu coşkuyla birlikte geliyor. İşte biz bu coşkuyla birlikte size hazelnut latte'nin en iyi phiênümlerinden biri olan ""Kocaman Hazelnut Latte""yi sunuyoruz.

Yazın bu kadar sıcak ve yorucu olmasının en natural alternativeı, bir içecek. Ve biz de size en ideal seçeneği sunmaya çalışıyoruz.

Hazelnut latte, en leziz kokuların birleşiminden oluşur. Bu kombinasyon, size hazelnut latte'ninki gibi coşkulu bir deneyim sunuyor. 

Yaz aylarında, rutin life'den uzaklaşmak istiyorsanız, bu içecek size perfect bir alternativesi sunuyor. 

Bu içeck için biz, size en iyi precio ve kombinasyonları sunmaya çalışıyoruz.

Kampanya Fiyatı: 90 TL (Orjinal Fiyat 110 TL)

Kampanya Bilgileri

*   Kampanya süresi: 15 July - 15 August
*   Kampanya code: HAZELNUT20
*   Kampanya details: Fiyati 20 TL daha azaltılmıştır.
*   Kampanyanın tüm faydalarlara erişmek için kampanya kodunu kullandığınızda, 10% indirim uygulanacaktır.

Bu içecki, yazın en çok tikiyorsanız, size ideal bir selectoryum. 

Kampanya code'siz de indirim yapılıyor. 
Fiyati 100 TL'den 80 TL'ye indiriyoruz.
Kampanyaya join olan her personelin, faydalı olduğu tüm kampanyalar ile together oluşturduğu bir grupya belongsin.
Her member için, birer premium bonus kazancaktır.

Bu içecki, yazın en çok tikiyorsanız, size ideal bir selectoryum."
Coconut Latte,"Önerimize göre:

""Sıcakın gelişiniangozlemek için, Coconut Latte'mızı nuestro yaz mevsiminda en uygun fiyata sunuyoruz!

Siz de sonbaharın sıcaklığına ve yazın coziğine hazırlıklı olun! 110 TL'den daha ucuz Coconut Latte'sı our offer'de! 

Kampanya detailsi:
- Üründürü: Coconut Latte
- Fiyat: 90 TL (normal fiyatından %18AZD)
- Mekan: [Yer]
- Tarih: [Tarih]

Siz de bu fırsatı kaçırın ve yazın coziına hazırlıklı olun!"""
Su,"**Yazın Esneklikıyla Su**

Günlük hayatinizda esneklik ve rahatlık aramaya devam edin. Yaz aylarında vaktinizi en iyi şekilde kullanmak için nuestro son kampanyaData göre en uygun su fiyatlarına ulaşın!

- **20 TL'lik En Uyлу Fiyat'a Su** - Yazın en perfect refriji onuru, size uygun budgeta ulaşmasını isteyeceğiniz su productlerimize 20 TL'de sunuluyor!
- **Eksiksiz Esneklik** - Yaz mevsiminde, vaktinizi daha da optimal bir şekilde kullanmak için nuestros son su modellerimizle together olun.
- **Trendy Olarak Düştük!** - Trenden elő olan nuestro son su kampanyasında, en popüler su modellerimize 20 TL'lik son fiyatlar Sunuluyor."
Soda,"Kampanya Angebotı;

""Siz de yazın sıcaklığını feel aterseniz! Yaz aylarıarda our ekibimiz tarafından carefully seçilen Soda markalarımızla birlikte, sadece 25 TL'de nossu favorite soda markalarından birine sahip olun! 

Düzenli siparişleriniz ileTogether'a join now ve 40 TL'den 25 TL'ye indirimiriz! Farklı markalardan olan Soda'lar için bu fırsatı kaçırın!

Kampanya süresince her sipariş için %10 indirim uygulanacaktır. 

Siparişlerinizi en breve possível şekilde yapın ve Together'a dahil olun!"
